Pitch,Velocity,Position,Length
52,81,0.0,0.14
49,63,0.25,0.184
51,98,0.5,0.14
52,98,0.75,0.165
51,94,1.0,0.117
49,103,1.25,0.134
45,79,1.5,0.098
42,114,1.75,0.155
51,99,2.75,0.128
57,110,2.75,0.123
57,101,3.5,0.138
51,105,3.5,0.138
49,105,4.0,0.1
52,94,4.25,0.128
49,114,4.5,0.107
52,70,4.75,0.119
54,105,5.0,0.694
52,85,5.75,0.146
49,110,6.25,0.115
52,73,6.75,0.121
54,105,6.75,0.132
52,89,7.75,0.384
49,73,8.25,0.121
52,105,8.5,0.132
49,110,8.75,0.136
47,76,9.0,0.136
45,89,9.25,0.14
44,99,9.5,0.267
47,79,10.25,0.132
44,86,10.5,0.111
47,83,10.75,0.113
49,127,11.0,0.117
52,103,11.25,0.159
54,127,12.25,0.107
52,89,12.5,0.155
42,13,13.0,0.086
47,81,13.25,0.173
49,127,14.0,0.153
52,106,14.75,0.421
49,105,15.25,0.103
47,77,15.5,0.13
49,127,15.75,0.253
50,98,16.25,0.144
51,105,16.5,0.103
52,103,16.75,0.123
59,94,17.0,0.132
52,83,17.25,0.18
61,86,18.25,0.159
59,61,18.5,0.192
62,79,18.75,0.167
61,68,19.0,0.182
59,61,19.25,0.169
52,84,19.5,0.25
54,91,20.25,0.173
52,79,20.5,0.192
55,80,20.75,0.194
56,75,21.0,0.173
57,69,21.25,0.19
58,77,21.5,0.148
59,71,21.75,0.186
64,81,22.0,0.238
62,83,22.75,0.211
61,105,23.5,0.18
60,81,24.25,0.567
59,63,24.75,0.219
54,69,25.0,0.232
47,77,25.25,0.232
50,99,25.75,0.257
51,86,26.0,0.203
54,98,26.25,0.23
56,105,27.25,0.221
54,79,27.5,0.282
49,99,28.25,0.171
47,73,28.5,0.173
49,94,28.75,0.207
51,86,29.0,0.188
54,86,29.25,0.175
54,82,29.5,0.19
56,79,29.75,0.2
54,70,30.0,0.288
51,79,30.25,0.238
54,82,30.75,0.25
52,98,31.75,0.721
53,98,32.5,0.3
54,105,32.75,0.178
57,89,33.0,0.192
59,99,33.25,0.457
57,89,33.75,0.442
54,98,34.25,0.13
52,83,34.5,0.209
54,110,34.75,1.973
42,122,37.25,0.138
42,121,38.0,0.159
42,120,38.75,0.192
47,73,40.25,0.163
48,79,40.5,0.117
49,98,40.75,3.242
44,72,44.25,0.165
47,70,44.75,0.228
49,105,45.0,0.178
49,105,48.25,0.115
47,73,48.5,0.121
52,76,48.75,0.169
49,91,49.0,0.105
47,75,49.25,0.15
44,73,49.5,0.086
40,81,49.75,1.373
40,81,51.25,0.117
40,77,51.5,0.128
40,79,51.75,0.192
42,86,52.25,0.096
42,77,52.5,0.121
42,94,52.75,0.159
44,82,53.25,0.107
44,79,53.5,0.107
44,86,53.75,0.155
47,72,54.25,0.115
47,70,54.5,0.157
47,65,54.75,0.161
49,110,55.0,0.138
52,89,55.25,0.198
49,91,55.75,0.296
47,83,56.25,0.155
45,77,56.5,0.213
47,75,56.75,0.465
49,91,57.25,0.098
49,82,57.5,0.14
50,98,57.75,0.15
51,110,58.0,0.123
54,105,58.25,0.188
56,114,59.25,0.144
54,105,59.5,0.18
49,105,60.25,0.113
47,56,60.5,0.113
50,85,60.75,0.159
51,91,61.0,0.103
54,77,61.25,0.1
54,77,61.5,0.132
56,110,61.75,0.161
54,70,62.0,0.146
51,72,62.25,0.088
56,105,62.5,0.144
54,77,62.75,0.148
51,86,63.0,0.096
49,84,63.25,0.123
51,79,63.5,0.109
52,84,63.75,0.142
