Pitch,Velocity,Position,Length
52,81,0.0,0.14
49,63,0.25,0.184
51,98,0.5,0.14
52,98,0.75,0.165
51,94,1.0,0.117
49,103,1.25,0.134
45,79,1.5,0.098
42,114,1.75,0.155
51,101,2.75,0.411
57,100,2.75,0.444
51,98,3.5,0.49
57,103,3.5,0.5
52,101,4.0,0.228
49,109,4.25,0.246
52,63,4.5,0.094
52,86,4.75,0.117
54,97,4.75,0.717
52,90,5.5,0.363
49,79,6.25,0.153
52,77,6.75,0.178
54,116,7.0,0.844
52,109,7.75,0.271
49,109,8.25,0.248
52,94,8.5,0.307
49,118,8.75,0.225
47,106,9.0,0.23
45,106,9.25,0.23
44,118,9.5,0.275
47,108,10.25,0.223
45,95,10.5,0.234
47,96,10.75,0.248
49,98,11.0,0.292
52,100,11.25,0.321
54,116,12.25,0.39
52,104,12.5,0.382
47,100,13.25,0.267
49,118,14.0,0.294
49,91,14.75,0.215
52,90,14.75,0.507
49,109,15.25,0.215
47,104,15.5,0.217
49,102,15.75,0.39
50,105,16.25,0.25
51,97,16.5,0.236
52,93,16.75,0.234
59,94,17.0,0.236
52,115,17.25,0.321
59,112,18.25,0.28
61,111,18.5,0.275
62,80,18.75,0.25
61,118,19.0,0.205
59,86,19.25,0.228
52,96,19.5,0.267
54,111,20.25,0.209
52,98,20.5,0.282
54,105,20.75,0.148
55,92,21.0,0.278
56,111,21.25,0.161
57,93,21.5,0.25
59,102,21.75,0.207
64,99,22.0,0.234
62,99,22.75,0.296
61,111,23.5,0.286
60,72,24.25,0.415
59,76,24.75,0.382
54,78,25.25,0.094
47,55,25.5,0.198
49,70,25.75,0.134
51,85,26.0,0.303
54,88,26.25,0.136
56,104,27.25,0.217
54,85,27.5,0.346
47,92,28.25,0.236
49,84,28.5,0.288
51,80,28.75,0.157
54,84,29.0,0.086
54,98,29.25,0.113
54,71,29.5,0.184
56,94,29.75,0.257
54,51,30.0,0.3
51,87,30.25,0.132
54,109,30.75,0.417
52,106,32.25,0.219
53,92,32.5,0.246
54,100,32.75,0.573
57,82,33.25,0.346
59,103,33.5,0.267
57,94,33.75,0.35
54,88,34.0,0.215
52,104,34.25,0.457
54,104,34.75,0.386
42,118,37.25,0.228
42,118,38.0,0.211
42,111,38.75,0.238
47,96,40.25,0.219
48,84,40.5,0.282
49,94,40.75,3.467
44,105,44.25,0.525
47,69,44.75,0.207
49,62,44.75,0.369
49,111,48.25,0.196
47,99,48.5,0.263
52,103,48.75,0.25
49,114,49.0,0.238
47,107,49.25,0.198
44,116,49.5,0.203
40,114,49.75,0.234
40,109,51.25,0.163
40,110,51.5,0.153
40,118,51.75,0.34
42,105,52.25,0.107
42,109,52.5,0.132
42,112,52.75,0.367
44,108,53.25,0.134
44,104,53.5,0.144
44,90,53.75,0.269
47,108,54.25,0.134
47,104,54.5,0.144
47,90,54.75,0.269
49,104,55.0,0.309
52,104,55.25,0.309
49,104,55.75,0.309
47,104,56.25,0.309
45,104,56.5,0.309
47,108,56.75,0.523
49,116,57.25,0.188
47,100,57.5,0.259
49,100,57.75,0.234
51,72,58.0,0.282
54,97,58.25,0.332
56,116,59.25,0.344
54,94,59.5,0.263
49,112,60.25,0.271
47,96,60.5,0.284
49,104,60.75,0.263
51,79,61.0,0.225
54,76,61.25,0.159
54,98,61.5,0.257
56,98,61.75,0.261
54,87,62.0,0.267
51,92,62.25,0.255
56,92,62.5,0.255
54,87,62.75,0.325
51,89,63.0,0.242
49,109,63.25,0.255
51,62,63.5,0.205
51,101,63.75,0.209
