Pitch,Velocity,Position,Length
63,101,0.0,0.242
61,109,0.25,0.207
63,88,0.5,0.209
64,90,0.75,0.33
63,97,1.0,0.25
61,112,1.25,0.196
59,112,1.5,0.196
57,112,1.75,0.196
56,112,2.0,0.196
54,112,2.25,0.196
52,112,2.5,0.196
51,112,2.75,0.196
49,112,3.0,0.196
47,112,3.25,0.196
45,112,3.5,0.196
42,119,3.75,0.5
51,101,4.75,0.411
57,100,4.75,0.444
51,98,5.5,0.49
57,103,5.5,0.5
52,101,6.0,0.228
49,109,6.25,0.246
52,63,6.5,0.094
52,86,6.75,0.117
54,97,6.75,0.717
52,90,7.5,0.363
49,79,8.25,0.153
52,77,8.75,0.178
54,116,9.0,0.844
52,109,9.75,0.271
49,109,10.25,0.248
52,94,10.5,0.307
49,118,10.75,0.225
47,106,11.0,0.23
45,106,11.25,0.23
44,118,11.5,0.275
47,108,12.25,0.223
45,95,12.5,0.234
47,96,12.75,0.248
49,98,13.0,0.292
52,100,13.25,0.321
54,116,14.25,0.39
52,104,14.5,0.382
47,100,15.25,0.267
49,118,16.0,0.294
49,91,16.75,0.215
52,90,16.75,0.507
49,109,17.25,0.215
47,104,17.5,0.217
49,102,17.75,0.39
50,105,18.25,0.25
51,97,18.5,0.236
52,93,18.75,0.234
59,94,19.0,0.236
52,115,19.25,0.321
59,112,20.25,0.28
61,111,20.5,0.275
62,80,20.75,0.25
61,118,21.0,0.205
59,86,21.25,0.228
52,96,21.5,0.267
54,111,22.25,0.209
52,98,22.5,0.282
54,105,22.75,0.148
55,92,23.0,0.278
56,111,23.25,0.161
57,93,23.5,0.25
59,102,23.75,0.207
64,99,24.0,0.234
62,99,24.75,0.296
61,111,25.5,0.286
60,72,26.25,0.415
59,76,26.75,0.382
54,78,27.25,0.094
47,55,27.5,0.198
49,70,27.75,0.134
51,85,28.0,0.303
54,88,28.25,0.136
56,104,29.25,0.217
54,85,29.5,0.346
47,92,30.25,0.236
49,84,30.5,0.288
51,80,30.75,0.157
54,84,31.0,0.086
54,98,31.25,0.113
54,71,31.5,0.184
56,94,31.75,0.257
54,51,32.0,0.3
51,87,32.25,0.132
54,109,32.75,0.417
52,106,34.25,0.219
53,92,34.5,0.246
54,100,34.75,0.573
57,82,35.25,0.346
59,103,35.5,0.267
57,94,35.75,0.35
54,88,36.0,0.215
52,104,36.25,0.457
54,104,36.75,0.386
42,118,39.25,0.228
42,118,40.0,0.211
42,111,40.75,0.238
47,96,42.25,0.219
48,84,42.5,0.282
49,94,42.75,3.467
44,105,46.25,0.525
47,69,46.75,0.207
49,62,46.75,0.369
49,111,50.25,0.196
47,99,50.5,0.263
52,103,50.75,0.25
49,114,51.0,0.238
47,107,51.25,0.198
44,116,51.5,0.203
40,114,51.75,0.234
40,109,53.25,0.163
40,110,53.5,0.153
40,118,53.75,0.34
42,105,54.25,0.107
42,109,54.5,0.132
42,112,54.75,0.367
44,108,55.25,0.134
44,104,55.5,0.144
44,90,55.75,0.269
47,108,56.25,0.134
47,104,56.5,0.144
47,90,56.75,0.269
49,104,57.0,0.309
52,104,57.25,0.309
49,104,57.75,0.309
47,104,58.25,0.309
45,104,58.5,0.309
47,108,58.75,0.523
49,116,59.25,0.188
47,100,59.5,0.259
49,100,59.75,0.234
51,72,60.0,0.282
54,97,60.25,0.332
56,116,61.25,0.344
54,94,61.5,0.263
49,112,62.25,0.271
47,96,62.5,0.284
49,104,62.75,0.263
51,79,63.0,0.225
54,76,63.25,0.159
54,98,63.5,0.257
56,98,63.75,0.261
54,87,64.0,0.267
51,92,64.25,0.255
56,92,64.5,0.255
54,87,64.75,0.325
51,89,65.0,0.242
49,109,65.25,0.255
51,62,65.5,0.205
51,101,65.75,0.209
51,101,66.0,0.242
49,109,66.25,0.207
51,88,66.5,0.209
52,90,66.75,0.33
51,97,67.0,0.25
49,112,67.25,0.196
45,104,67.5,0.246
42,100,67.75,0.24
51,101,68.75,0.411
57,100,68.75,0.444
51,98,69.5,0.49
57,103,69.5,0.5
52,101,70.0,0.228
49,109,70.25,0.246
52,63,70.5,0.094
52,86,70.75,0.117
54,97,70.75,0.717
52,90,71.5,0.363
49,79,72.25,0.153
52,77,72.75,0.178
54,116,73.0,0.844
52,109,73.75,0.271
49,109,74.25,0.248
52,94,74.5,0.307
49,118,74.75,0.225
47,106,75.0,0.23
45,106,75.25,0.23
44,118,75.5,0.275
47,108,76.25,0.223
45,95,76.5,0.234
47,96,76.75,0.248
49,98,77.0,0.292
52,100,77.25,0.321
54,116,78.25,0.39
52,104,78.5,0.382
47,100,79.25,0.267
49,118,80.0,0.294
49,91,80.75,0.215
52,90,80.75,0.507
49,109,81.25,0.215
47,104,81.5,0.217
49,102,81.75,0.39
50,105,82.25,0.25
51,97,82.5,0.236
52,93,82.75,0.234
59,94,83.0,0.236
52,115,83.25,0.321
59,112,84.25,0.28
61,111,84.5,0.275
62,80,84.75,0.25
61,118,85.0,0.205
59,86,85.25,0.228
52,96,85.5,0.267
54,111,86.25,0.209
52,98,86.5,0.282
55,105,86.75,0.148
56,92,87.0,0.278
57,111,87.25,0.161
58,93,87.5,0.25
59,102,87.75,0.207
64,99,88.0,0.234
