Pitch,Velocity,Position,Length
42,108,0.0,0.25
54,108,0.5,0.5
42,108,1.0,0.25
57,108,1.25,0.5
42,108,1.75,0.25
59,108,2.0,0.5
42,108,2.5,0.25
61,108,2.75,0.5
42,108,3.25,0.25
64,108,3.5,0.5
42,108,4.0,0.25
66,108,4.25,0.5
42,108,4.75,0.25
69,108,5.0,0.28
66,108,5.25,0.28
64,108,5.5,0.28
61,108,5.75,0.25
64,108,6.0,0.25
68,108,6.25,0.25
64,108,6.5,0.25
57,108,6.75,0.25
61,108,7.0,0.25
64,108,7.25,0.25
66,108,7.5,0.25
61,108,7.75,0.25
49,108,8.25,0.25
61,108,8.5,0.5
49,108,9.0,0.25
64,108,9.25,0.5
49,108,9.75,0.25
66,108,10.0,0.5
49,108,10.5,0.25
68,108,10.75,0.5
49,108,11.25,0.25
71,108,11.5,0.655
49,108,12.25,0.25
73,108,12.5,0.209
73,108,12.75,0.209
64,108,13.5,0.209
66,108,13.875,0.209
68,108,14.0,0.5
66,108,14.5,0.5
65,108,15.0,0.5
64,108,15.5,0.5
52,108,16.25,0.25
64,108,16.5,0.5
52,108,17.0,0.25
64,108,17.25,0.5
52,108,17.75,0.25
73,108,18.0,0.5
52,108,18.5,0.25
74,108,18.75,0.5
52,108,19.25,0.25
76,108,19.5,0.5
68,109,20.5,0.19
68,109,20.75,0.19
64,108,21.5,0.5
73,108,22.0,0.334
64,108,22.25,0.334
72,108,22.5,0.375
64,108,22.75,0.334
71,108,23.0,0.5
52,108,23.5,0.209
52,108,23.75,0.209
59,73,24.0,0.217
59,70,24.25,0.217
59,70,24.5,0.217
59,70,24.75,0.217
59,73,25.0,0.217
59,70,25.25,0.217
59,70,25.5,0.217
59,70,25.75,0.217
59,91,26.0,0.217
59,88,26.25,0.217
59,88,26.5,0.217
59,88,26.75,0.217
59,91,27.0,0.217
59,88,27.25,0.217
59,88,27.5,0.217
59,88,27.75,0.217
59,101,28.0,0.217
59,98,28.25,0.217
59,98,28.5,0.217
59,98,28.75,0.217
59,101,29.0,0.217
59,98,29.25,0.217
59,98,29.5,0.217
59,98,29.75,0.217
59,110,30.0,0.217
59,107,30.25,0.217
47,116,30.75,0.25
47,116,31.5,0.25
