Pitch,Velocity,Position,Length
73,84,1.0,0.103
69,86,1.0,0.109
78,103,1.0,0.117
69,91,2.0,0.105
78,94,2.0,0.1
75,94,2.0,0.096
69,83,2.75,0.1
76,90,2.75,0.103
78,98,2.75,0.094
69,84,3.5,0.08
75,91,3.5,0.09
78,91,3.5,0.088
69,86,4.5,0.103
73,91,4.5,0.08
78,95,4.5,0.103
78,83,5.25,0.088
69,83,5.25,0.107
75,88,5.25,0.088
69,83,6.0,0.115
76,93,6.0,0.117
78,95,6.0,0.1
78,83,6.5,0.096
76,86,6.5,0.113
69,86,6.5,0.113
75,69,7.0,0.828
69,83,7.0,0.836
78,95,7.0,0.828
71,80,8.5,0.119
73,95,8.5,0.088
78,98,8.5,0.109
71,83,9.25,0.128
75,86,9.25,0.094
78,98,9.25,0.115
71,82,10.0,0.109
76,96,10.0,0.107
78,101,10.0,0.1
71,86,11.0,0.455
75,98,11.0,0.455
78,110,11.0,0.438
71,88,12.5,0.121
78,98,12.5,0.105
73,99,12.5,0.111
71,77,13.25,0.119
78,98,13.25,0.111
75,99,13.25,0.088
71,79,14.0,0.119
76,89,14.0,0.113
78,99,14.0,0.117
71,79,14.5,0.13
76,83,14.5,0.121
78,95,14.5,0.134
75,69,15.0,0.582
71,75,15.0,0.605
78,91,15.0,0.571
71,77,16.5,0.125
73,94,16.5,0.109
78,95,16.5,0.132
71,82,17.25,0.132
78,91,17.25,0.121
74,98,17.25,0.092
71,80,18.0,0.128
76,91,18.0,0.123
78,98,18.0,0.115
71,79,19.0,0.548
78,94,19.0,0.5
74,98,19.0,0.528
71,80,20.5,0.148
73,94,20.5,0.117
78,95,20.5,0.155
71,84,21.25,0.117
78,86,21.25,0.115
74,93,21.25,0.096
71,84,22.0,0.134
76,89,22.0,0.117
78,90,22.0,0.13
71,75,22.5,0.123
76,85,22.5,0.113
78,90,22.5,0.109
71,73,23.0,0.688
78,84,23.0,0.688
74,98,23.0,0.686
71,76,24.5,0.123
78,90,24.5,0.125
73,94,24.5,0.109
71,81,25.25,0.121
75,90,25.25,0.086
78,95,25.25,0.115
71,80,26.0,0.132
76,88,26.0,0.125
78,95,26.0,0.132
71,84,27.0,0.788
75,84,27.0,0.771
78,98,27.0,0.734
73,82,28.5,0.107
71,83,28.5,0.123
78,99,28.5,0.134
71,84,29.25,0.125
75,86,29.25,0.1
78,105,29.25,0.132
71,81,30.0,0.136
78,90,30.0,0.13
76,90,30.0,0.14
71,85,30.25,0.134
75,90,30.25,0.128
78,106,30.25,0.119
69,90,30.75,0.138
73,101,30.75,0.121
78,103,30.75,0.14
71,83,31.25,0.136
75,91,31.25,0.128
78,110,31.25,0.136
69,83,32.5,0.1
78,90,32.5,0.09
73,98,32.5,0.094
69,80,33.25,0.115
78,81,33.25,0.09
75,88,33.25,0.086
69,83,34.0,0.115
76,90,34.0,0.107
78,98,34.0,0.113
75,79,35.0,0.621
69,82,35.0,0.623
78,99,35.0,0.619
73,79,36.5,0.09
69,86,36.5,0.113
78,99,36.5,0.115
69,82,37.25,0.115
75,91,37.25,0.094
78,103,37.25,0.123
69,84,38.0,0.125
76,88,38.0,0.136
78,98,38.0,0.138
69,84,38.5,0.094
76,88,38.5,0.125
78,90,38.5,0.123
75,88,39.0,0.528
69,89,39.0,0.534
78,109,39.0,0.534
71,81,40.5,0.128
73,91,40.5,0.096
78,106,40.5,0.142
71,84,41.25,0.123
75,95,41.25,0.103
78,98,41.25,0.125
71,80,42.0,0.123
76,93,42.0,0.113
78,105,42.0,0.115
75,78,43.0,0.671
71,83,43.0,0.692
78,105,43.0,0.671
73,83,44.5,0.111
71,83,44.5,0.138
78,95,44.5,0.148
71,83,45.25,0.109
75,90,45.25,0.111
78,105,45.25,0.144
78,88,46.0,0.138
83,93,46.0,0.198
80,98,46.25,0.188
83,98,46.5,0.136
78,110,46.5,0.123
80,99,46.75,0.171
78,99,47.0,0.144
76,85,47.25,0.107
73,99,47.5,0.117
71,98,47.75,0.1
71,83,48.5,0.128
73,84,48.5,0.084
78,101,48.5,0.123
71,79,49.25,0.125
74,100,49.25,0.105
78,103,49.25,0.134
71,90,50.0,0.121
76,96,50.0,0.113
78,103,50.0,0.121
71,84,51.0,0.621
78,99,51.0,0.621
74,101,51.0,0.584
76,80,52.5,0.128
80,91,52.5,0.121
85,105,52.5,0.111
83,91,52.75,0.13
74,93,52.75,0.115
78,99,52.75,0.123
80,88,53.25,0.119
76,99,53.25,0.107
