Pitch,Velocity,Position,Length
66,90,0.5,0.138
69,107,0.5,0.159
66,81,1.25,0.107
69,89,1.25,0.138
66,84,2.0,0.117
69,98,2.0,0.169
66,74,2.75,0.138
64,86,2.75,0.2
64,81,3.5,0.259
66,84,3.5,0.217
66,66,4.5,0.215
69,78,4.5,0.211
66,88,5.25,0.196
69,99,5.25,0.219
66,79,6.0,0.209
69,90,6.0,0.238
66,94,6.75,0.165
64,95,6.75,0.225
64,86,7.5,0.225
66,97,7.5,0.19
64,86,8.5,0.215
68,118,8.5,0.161
64,99,9.25,0.211
68,123,9.25,0.169
64,94,10.0,0.19
68,114,10.0,0.19
59,86,10.75,0.282
61,89,10.75,0.25
59,97,11.5,0.23
61,98,11.5,0.294
64,87,12.5,0.261
68,110,12.5,0.23
64,95,13.25,0.238
68,118,13.25,0.221
64,91,14.0,0.284
68,121,14.0,0.215
59,91,14.75,0.309
64,101,14.75,0.305
59,96,15.5,0.273
64,107,15.5,0.294
59,76,16.5,0.19
57,76,16.5,0.159
62,103,16.5,0.271
59,91,17.25,0.215
62,95,17.25,0.257
59,89,18.0,0.2
64,116,18.0,0.205
59,80,18.75,0.138
66,118,18.75,0.18
59,84,19.5,0.169
68,121,19.5,0.2
64,91,20.25,0.284
66,90,20.5,0.092
64,92,21.25,0.198
68,118,21.25,0.18
64,55,22.0,0.217
69,115,22.0,0.263
64,96,22.75,0.207
71,112,22.75,0.246
64,78,23.5,0.119
73,127,23.5,0.221
71,95,24.5,0.18
75,109,24.5,0.159
71,90,25.25,0.169
75,110,25.25,0.155
71,92,26.0,0.18
75,111,26.0,0.161
69,86,26.75,0.207
75,106,26.75,0.155
69,92,27.5,0.211
75,103,27.5,0.171
71,100,28.5,0.211
75,109,28.5,0.165
71,95,29.25,0.19
75,111,29.25,0.165
71,92,30.0,0.24
75,107,30.0,0.184
71,55,30.75,0.13
69,66,30.75,0.2
75,110,30.75,0.144
69,85,31.5,0.211
75,107,31.5,0.169
71,104,31.75,0.25
