Pitch,Velocity,Position,Length
63,101,178.625,0.121
61,109,178.75,0.104
63,88,178.875,0.105
64,90,179.0,0.165
63,97,179.125,0.125
61,112,179.25,0.098
59,112,179.375,0.098
57,112,179.5,0.098
56,112,179.625,0.098
54,112,179.75,0.098
52,112,179.875,0.098
51,112,180.0,0.098
49,112,180.125,0.098
47,112,180.25,0.098
45,112,180.375,0.098
42,119,180.5,0.25
51,101,181.0,0.206
57,100,181.0,0.222
51,98,181.375,0.245
57,103,181.375,0.25
52,101,181.625,0.114
49,109,181.75,0.123
52,63,181.875,0.047
52,86,182.0,0.059
54,97,182.0,0.359
52,90,182.375,0.182
49,79,182.75,0.077
52,77,183.0,0.089
54,116,183.125,0.422
52,109,183.5,0.136
49,109,183.75,0.124
52,94,183.875,0.154
49,118,184.0,0.113
47,106,184.125,0.115
45,106,184.25,0.115
44,118,184.375,0.138
47,108,184.75,0.112
45,95,184.875,0.117
47,96,185.0,0.124
49,98,185.125,0.146
52,100,185.25,0.161
54,116,185.75,0.195
52,104,185.875,0.191
47,100,186.25,0.134
49,118,186.625,0.147
49,91,187.0,0.108
52,90,187.0,0.254
49,109,187.25,0.108
47,104,187.375,0.109
49,102,187.5,0.195
50,105,187.75,0.125
51,97,187.875,0.118
52,93,188.0,0.117
59,94,188.125,0.118
52,115,188.25,0.161
59,112,188.75,0.14
61,111,188.875,0.138
62,80,189.0,0.125
61,118,189.125,0.103
59,86,189.25,0.114
52,96,189.375,0.134
54,111,189.75,0.105
52,98,189.875,0.141
54,105,190.0,0.074
55,92,190.125,0.139
56,111,190.25,0.081
57,93,190.375,0.125
59,102,190.5,0.104
64,99,190.625,0.117
62,99,191.0,0.148
61,111,191.375,0.143
60,72,191.75,0.208
59,76,192.0,0.191
54,78,192.25,0.047
47,55,192.375,0.099
49,70,192.5,0.067
51,85,192.625,0.152
54,88,192.75,0.068
56,104,193.25,0.109
54,85,193.375,0.173
47,92,193.75,0.118
49,84,193.875,0.144
51,80,194.0,0.079
54,84,194.125,0.043
54,98,194.25,0.057
54,71,194.375,0.092
56,94,194.5,0.129
54,51,194.625,0.15
51,87,194.75,0.066
54,109,195.0,0.209
52,106,195.75,0.11
53,92,195.875,0.123
54,100,196.0,0.287
57,82,196.25,0.173
59,103,196.375,0.134
57,94,196.5,0.175
54,88,196.625,0.108
52,104,196.75,0.229
54,104,197.0,0.193
42,118,198.25,0.114
42,118,198.625,0.106
42,111,199.0,0.119
47,96,199.75,0.11
48,84,199.875,0.141
49,94,200.0,1.734
44,105,201.75,0.263
47,69,202.0,0.104
49,62,202.0,0.185
49,111,203.75,0.098
47,99,203.875,0.132
52,103,204.0,0.125
49,114,204.125,0.119
47,107,204.25,0.099
44,116,204.375,0.102
40,114,204.5,0.117
40,109,205.25,0.082
40,110,205.375,0.077
40,118,205.5,0.17
42,105,205.75,0.054
42,109,205.875,0.066
42,112,206.0,0.184
44,108,206.25,0.067
44,104,206.375,0.072
44,90,206.5,0.135
47,108,206.75,0.067
47,104,206.875,0.072
47,90,207.0,0.135
49,104,207.125,0.155
52,104,207.25,0.155
49,104,207.5,0.155
47,104,207.75,0.155
45,104,207.875,0.155
47,108,208.0,0.262
49,116,208.25,0.094
47,100,208.375,0.13
49,100,208.5,0.117
51,72,208.625,0.141
54,97,208.75,0.166
56,116,209.25,0.172
54,94,209.375,0.132
49,112,209.75,0.136
47,96,209.875,0.142
49,104,210.0,0.132
51,79,210.125,0.113
54,76,210.25,0.08
54,98,210.375,0.129
56,98,210.5,0.131
54,87,210.625,0.134
51,92,210.75,0.128
56,92,210.875,0.128
54,87,211.0,0.163
51,89,211.125,0.121
49,109,211.25,0.128
51,62,211.375,0.103
51,101,211.5,0.105
51,101,211.625,0.121
49,109,211.75,0.104
51,88,211.875,0.105
52,90,212.0,0.165
51,97,212.125,0.125
49,112,212.25,0.098
45,104,212.375,0.123
42,100,212.5,0.12
51,101,213.0,0.206
57,100,213.0,0.222
51,98,213.375,0.245
57,103,213.375,0.25
52,101,213.625,0.114
49,109,213.75,0.123
52,63,213.875,0.047
52,86,214.0,0.059
54,97,214.0,0.359
52,90,214.375,0.182
49,79,214.75,0.077
52,77,215.0,0.089
54,116,215.125,0.422
52,109,215.5,0.136
49,109,215.75,0.124
52,94,215.875,0.154
49,118,216.0,0.113
47,106,216.125,0.115
45,106,216.25,0.115
44,118,216.375,0.138
47,108,216.75,0.112
45,95,216.875,0.117
47,96,217.0,0.124
49,98,217.125,0.146
52,100,217.25,0.161
54,116,217.75,0.195
52,104,217.875,0.191
47,100,218.25,0.134
49,118,218.625,0.147
49,91,219.0,0.108
52,90,219.0,0.254
49,109,219.25,0.108
47,104,219.375,0.109
49,102,219.5,0.195
50,105,219.75,0.125
51,97,219.875,0.118
52,93,220.0,0.117
59,94,220.125,0.118
52,115,220.25,0.161
59,112,220.75,0.14
61,111,220.875,0.138
62,80,221.0,0.125
61,118,221.125,0.103
59,86,221.25,0.114
52,96,221.375,0.134
54,111,221.75,0.105
52,98,221.875,0.141
55,105,222.0,0.074
56,92,222.125,0.139
57,111,222.25,0.081
